Team,Tournaments,Games,Wins,Losses,W_Ratio,Opponent_W_Ratio,Goals_For,Goals_Against,Avg_Point_Diff,Component,Interconnectivity,Eligible
GB Mixed Blue,1,5,5,0,1.0,0.5654545454545454,73,29,8.8,1.0,16,0
Rebel Ultimate,1,5,5,0,1.0,0.5000222816399287,70,47,4.6,1.0,22,0
LLLeeds Mixed,1,6,5,1,0.8333333333333334,0.34368686868686865,76,54,3.6666666666666665,1.0,22,0
Tribe,1,5,4,1,0.8,0.49754901960784315,67,46,4.2,1.0,26,0
GB Mixed Red,1,5,4,1,0.8,0.7058333333333333,66,45,4.2,1.0,17,0
BN1,2,11,8,3,0.7272727272727273,0.5577155242262194,126,78,4.363636363636363,1.0,28,1
Lemmings 1,2,10,7,3,0.7,0.5814772727272727,108,94,1.4,1.0,30,1
Lemmings 2,1,6,4,2,0.6666666666666666,0.6122883244206774,65,50,2.5,1.0,27,0
Bermondsey Bombers,1,6,4,2,0.6666666666666666,0.391934046345811,60,38,3.6666666666666665,1.0,30,0
SOLENT,1,6,4,2,0.6666666666666666,0.5453839869281046,52,51,0.16666666666666666,1.0,33,0
Newcastle Brown,2,12,8,4,0.6666666666666666,0.42255830362448005,114,117,-0.25,1.0,32,1
Contested 1st,1,6,4,2,0.6666666666666666,0.46153074866310156,71,55,2.6666666666666665,1.0,37,0
Bristol Mixed,3,17,11,6,0.6470588235294118,0.4761547132221872,173,146,1.588235294117647,1.0,39,1
SOLENT Blue,2,11,7,4,0.6363636363636364,0.482243558580457,111,100,1.0,1.0,31,1
LLLeeds,1,5,3,2,0.6,0.38235294117647056,40,38,0.4,1.0,19,0
Black Sheep's Back,1,5,3,2,0.6,0.3412121212121212,55,55,0.0,1.0,18,0
Deep Space,1,5,3,2,0.6,0.7458333333333333,51,48,0.6,1.0,17,0
Thundering Herd 1,3,16,9,7,0.5625,0.5848039215686275,171,144,1.6875,1.0,33,1
Flyght Mixed,3,16,9,7,0.5625,0.5538324420677362,163,150,0.8125,1.0,39,1
Heck,2,11,6,5,0.5454545454545454,0.5963680926916222,103,104,-0.09090909090909091,1.0,36,1
Sheffield Steal,3,17,9,8,0.5294117647058824,0.5616152878263605,169,153,0.9411764705882353,1.0,40,1
Big Fish Little Fish,2,12,6,6,0.5,0.4016488413547237,116,104,1.0,1.0,34,1
Flyght Mixed 2,1,6,3,3,0.5,0.5408496732026143,46,44,0.3333333333333333,1.0,25,0
LLLeeds Mixed 1,1,6,3,3,0.5,0.39470068330362446,42,47,-0.8333333333333334,1.0,35,0
SOLENT White,2,11,5,6,0.45454545454545453,0.4608207745908281,102,112,-0.9090909090909091,1.0,29,1
Muntjacs Ultimate,2,12,5,7,0.4166666666666667,0.4014854426619132,111,107,0.3333333333333333,1.0,35,1
Brixton,3,17,7,10,0.4117647058823529,0.49728950403690886,137,152,-0.8823529411764706,1.0,37,1
Cambridge Ultimate,1,5,2,3,0.4,0.41903743315508024,41,60,-3.8,1.0,27,0
Thundering Herd 2,2,10,4,6,0.4,0.47342245989304815,87,96,-0.9,1.0,28,1
Black Sheep's Front,1,5,2,3,0.4,0.46454545454545454,59,52,1.4,1.0,20,0
Contested 1,2,12,4,8,0.3333333333333333,0.5870487967914438,107,128,-1.75,1.0,38,1
Reading,1,6,2,4,0.3333333333333333,0.4873774509803921,40,61,-3.5,1.0,34,0
Mamak Ultimate,1,6,2,4,0.3333333333333333,0.5482323232323232,50,65,-2.5,1.0,24,0
Curve,2,11,3,8,0.2727272727272727,0.44445187165775396,82,120,-3.4545454545454546,1.0,35,1
Red,1,5,1,4,0.2,0.5045454545454545,40,55,-3.0,1.0,20,0
Black Sheep,2,10,2,8,0.2,0.3783333333333333,88,102,-1.4,1.0,32,1
Mamak,1,5,1,4,0.2,0.352927807486631,30,60,-6.0,1.0,31,0
GUXYZ,1,6,1,5,0.16666666666666666,0.6298611111111111,61,71,-1.6666666666666667,1.0,27,0
Zoo,2,10,1,9,0.1,0.44425356506238856,64,120,-5.6,1.0,34,1
Oxford Ultimate,1,6,0,6,0.0,0.6745989304812835,35,74,-6.5,1.0,28,0
Zoo 1,1,5,0,5,0.0,0.4042424242424242,12,62,-10.0,1.0,23,0
