Tournament,Date,Team_1,Team_2,Score_1,Score_2,Division
Mixed Imperial 2024,2024-03-23,Reading,Black Sheep,10,8,mixed
Mixed Imperial 2024,2024-03-23,Flyght Mixed,Curve,13,7,mixed
Mixed Imperial 2024,2024-03-23,Sheffield Steal,Mamak,15,3,mixed
Mixed Imperial 2024,2024-03-23,Zoo 1,Bermondsey Bombers,2,15,mixed
Mixed Imperial 2024,2024-03-23,LLLeeds Mixed 1,SOLENT White,6,9,mixed
Mixed Imperial 2024,2024-03-23,Contested 1st,Muntjacs Ultimate,14,7,mixed
Mixed Imperial 2024,2024-03-23,Deep Space,Thundering Herd 1,10,5,mixed
Mixed Imperial 2024,2024-03-23,GB Mixed Red,Lemmings 2,11,6,mixed
Mixed Imperial 2024,2024-03-23,GB Mixed Blue,BN1,13,1,mixed
Mixed Imperial 2024,2024-03-23,Lemmings 1,Oxford Ultimate,11,5,mixed
Mixed Imperial 2024,2024-03-23,LLLeeds Mixed 1,Bermondsey Bombers,8,4,mixed
Mixed Imperial 2024,2024-03-23,Zoo 1,SOLENT White,1,10,mixed
Mixed Imperial 2024,2024-03-23,Cambridge Ultimate,SOLENT Blue,6,14,mixed
Mixed Imperial 2024,2024-03-23,Bristol Mixed,Brixton,8,5,mixed
Mixed Imperial 2024,2024-03-23,Thundering Herd 1,Lemmings 2,5,12,mixed
Mixed Imperial 2024,2024-03-23,Deep Space,GB Mixed Red,8,11,mixed
Mixed Imperial 2024,2024-03-23,GB Mixed Blue,Lemmings 1,15,5,mixed
Mixed Imperial 2024,2024-03-23,BN1,Oxford Ultimate,11,4,mixed
Mixed Imperial 2024,2024-03-23,Reading,Contested 1st,5,15,mixed
Mixed Imperial 2024,2024-03-23,Black Sheep,Muntjacs Ultimate,3,11,mixed
Mixed Imperial 2024,2024-03-23,Curve,Mamak,13,5,mixed
Mixed Imperial 2024,2024-03-23,Flyght Mixed,Sheffield Steal,5,8,mixed
Mixed Imperial 2024,2024-03-23,Bermondsey Bombers,SOLENT White,9,8,mixed
Mixed Imperial 2024,2024-03-23,Zoo 1,LLLeeds Mixed 1,4,11,mixed
Mixed Imperial 2024,2024-03-23,SOLENT Blue,Brixton,12,8,mixed
Mixed Imperial 2024,2024-03-23,Cambridge Ultimate,Bristol Mixed,3,15,mixed
