Team,Tournaments,Games,Wins,Losses,W_Ratio,Opponent_W_Ratio,Goals_For,Goals_Against,Avg_Point_Diff,Component,Interconnectivity,Eligible
SMOG Open,1,5,5,0,1.0,0.48465709728867623,69,34,7.0,1.0,22,1
GB Open Masters,1,5,5,0,1.0,0.48,67,48,3.8,1.0,17,1
Loughborough 1,1,6,5,1,0.8333333333333334,0.4978939189465505,71,64,1.1666666666666667,1.0,23,1
Alba,1,5,4,1,0.8,0.5333333333333333,58,49,1.8,1.0,16,1
Cambridge Ultimate Open 1,2,12,9,3,0.75,0.5098034275665855,141,105,3.0,1.0,28,1
Sheffield Steal,1,7,5,2,0.7142857142857143,0.4153240243465807,79,53,3.7142857142857144,1.0,30,1
DED,2,13,9,4,0.6923076923076923,0.47086247086247085,152,108,3.3846153846153846,1.0,21,1
SOLENT Open,1,6,4,2,0.6666666666666666,0.5388888888888889,68,50,3.0,1.0,26,1
Ka-Pow!,2,10,6,4,0.6,0.6089952153110048,121,93,2.8,1.0,25,1
PELT Ultimate,1,5,3,2,0.6,0.5,57,52,1.0,1.0,13,1
GB U24 Open,1,5,3,2,0.6,0.6599999999999999,63,48,3.0,1.0,16,1
Lemmings Open 1,2,10,6,4,0.6,0.5386921850079744,110,108,0.2,1.0,24,1
Bristol Open,1,5,3,2,0.6,0.6799999999999999,64,45,3.8,1.0,13,1
Brighton Open,2,12,7,5,0.5833333333333334,0.4185273790536948,141,120,1.75,1.0,30,1
Fire of London,2,12,7,5,0.5833333333333334,0.42045454545454547,131,104,2.25,1.0,31,1
Lemmings 2,1,7,4,3,0.5714285714285714,0.4501688787403073,66,60,0.8571428571428571,1.0,21,1
Brizzle,1,7,4,3,0.5714285714285714,0.4519659538456531,73,64,1.2857142857142858,1.0,25,1
LLLeeds Open 1,2,11,6,5,0.5454545454545454,0.4713392667938123,133,99,3.090909090909091,1.0,22,1
SOLENT White,2,19,10,9,0.5263157894736842,0.5003873319662793,177,190,-0.6842105263157895,1.0,30,1
Manchester Ultimate,2,12,6,6,0.5,0.387536075036075,122,109,1.0833333333333333,1.0,23,1
Out of Hibearnation,1,6,3,3,0.5,0.5376429126429126,65,58,1.1666666666666667,1.0,22,1
Ireland U24 Men,1,6,3,3,0.5,0.587987012987013,54,66,-2.0,1.0,25,1
Thundering Him,1,7,3,4,0.42857142857142855,0.33405879834451263,59,62,-0.42857142857142855,1.0,21,1
Flyght Open 1,2,12,5,7,0.4166666666666667,0.4919462847094426,108,112,-0.3333333333333333,1.0,25,1
Newcastle Brown,2,11,4,7,0.36363636363636365,0.5575939212302848,102,122,-1.8181818181818181,1.0,22,1
GB U20 Open,2,11,4,7,0.36363636363636365,0.5705741626794258,103,117,-1.2727272727272727,1.0,31,1
SMASH'D 1,1,12,4,8,0.3333333333333333,0.5813264221158958,116,139,-1.9166666666666667,1.0,30,1
Brixton Open,1,6,2,4,0.3333333333333333,0.3754177109440267,42,63,-3.5,1.0,25,1
SMASH'D,1,5,1,4,0.2,0.5927272727272728,34,67,-6.6,1.0,16,1
Manchester Bees,2,11,2,9,0.18181818181818182,0.4499220874818961,77,138,-5.545454545454546,1.0,26,1
LLLeeds 2,1,7,1,6,0.14285714285714285,0.45320281222536857,43,73,-4.285714285714286,1.0,25,1
Birmingham Ultimate,2,12,0,12,0.0,0.4895389698021277,47,154,-8.916666666666666,1.0,24,1
Tribe Open,1,6,0,6,0.0,0.6912698412698414,39,78,-6.5,1.0,24,1
