Tournament,Date,Team_1,Team_2,Score_1,Score_2
Uni Fans 2025,2025-04-05,Birmingham Ultimate,LLLeeds Mixed,8,5
Uni Fans 2025,2025-04-05,Bristol Mixed,GB Mixed Masters,10,8
Uni Fans 2025,2025-04-05,Bristol Mixed,Sheffield Steal,12,7
Uni Fans 2025,2025-04-05,Cambridge Ultimate Mixed 1,Black Sheep Ultimate,11,5
Uni Fans 2025,2025-04-05,Cambridge Ultimate Mixed 1,Curve,9,4
Uni Fans 2025,2025-04-05,Cambridge Ultimate Mixed 1,Thundering Herd 2,11,6
Uni Fans 2025,2025-04-05,Contested 1st,Brixton,10,4
Uni Fans 2025,2025-04-05,Curve,Black Sheep Ultimate,12,3
Uni Fans 2025,2025-04-05,Curve,Thundering Herd 2,9,5
Uni Fans 2025,2025-04-05,Flyght Mixed,Brixton,11,5
Uni Fans 2025,2025-04-05,GB Mixed Masters,Lemmings 1,9,8
Uni Fans 2025,2025-04-05,GB Mixed Masters,Sheffield Steal,13,1
Uni Fans 2025,2025-04-05,GUXYZ,Birmingham Ultimate,10,4
Uni Fans 2025,2025-04-05,GUXYZ,LLLeeds Mixed,11,3
Uni Fans 2025,2025-04-05,GUXYZ,South Wales Storm,9,6
Uni Fans 2025,2025-04-05,Lemmings 1,Contested 1st,9,3
Uni Fans 2025,2025-04-05,Lemmings 1,Newcastle Brown,11,6
Uni Fans 2025,2025-04-05,Newcastle Brown,Bristol Mixed,13,5
Uni Fans 2025,2025-04-05,Newcastle Brown,Contested 1st,8,7
Uni Fans 2025,2025-04-05,Oxford Ultimate,Brixton,11,8
Uni Fans 2025,2025-04-05,Oxford Ultimate,Flyght Mixed,10,7
Uni Fans 2025,2025-04-05,Oxford Ultimate,Reading 2,12,2
Uni Fans 2025,2025-04-05,Purple Cobras,Black Sheep Ultimate,13,2
Uni Fans 2025,2025-04-05,Purple Cobras,Cambridge Ultimate Mixed 1,12,2
Uni Fans 2025,2025-04-05,Purple Cobras,Curve,12,7
Uni Fans 2025,2025-04-05,Purple Cobras,Thundering Herd 2,10,3
Uni Fans 2025,2025-04-05,Reading 2,SOLENT Mixed,9,8
Uni Fans 2025,2025-04-05,SOLENT Mixed,Sheffield Steal,10,4
Uni Fans 2025,2025-04-05,South Wales Storm,Birmingham Ultimate,6,4
Uni Fans 2025,2025-04-05,South Wales Storm,LLLeeds Mixed,10,1
Uni Fans 2025,2025-04-05,Thundering Herd 1,Flyght Mixed,10,3
Uni Fans 2025,2025-04-05,Thundering Herd 1,Reading 2,13,4
Uni Fans 2025,2025-04-05,Thundering Herd 1,SOLENT Mixed,10,5
Uni Fans 2025,2025-04-05,Thundering Herd 2,Black Sheep Ultimate,7,4
Uni Fans 2025,2025-04-06,Black Sheep Ultimate,Birmingham Ultimate,8,6
Uni Fans 2025,2025-04-06,Black Sheep Ultimate,LLLeeds Mixed,13,1
Uni Fans 2025,2025-04-06,Bristol Mixed,Flyght Mixed,15,5
Uni Fans 2025,2025-04-06,Brixton,Cambridge Ultimate Mixed 1,10,5
Uni Fans 2025,2025-04-06,Brixton,South Wales Storm,9,7
Uni Fans 2025,2025-04-06,Cambridge Ultimate Mixed 1,Sheffield Steal,9,8
Uni Fans 2025,2025-04-06,Contested 1st,GUXYZ,13,4
Uni Fans 2025,2025-04-06,Contested 1st,South Wales Storm,13,8
Uni Fans 2025,2025-04-06,Curve,Birmingham Ultimate,13,3
Uni Fans 2025,2025-04-06,Curve,LLLeeds Mixed,13,1
Uni Fans 2025,2025-04-06,GB Mixed Masters,Newcastle Brown,15,4
Uni Fans 2025,2025-04-06,GB Mixed Masters,Oxford Ultimate,15,5
Uni Fans 2025,2025-04-06,GUXYZ,Brixton,10,7
Uni Fans 2025,2025-04-06,Lemmings 1,Bristol Mixed,15,3
Uni Fans 2025,2025-04-06,Lemmings 1,Reading 2,15,3
Uni Fans 2025,2025-04-06,Newcastle Brown,Thundering Herd 1,15,7
Uni Fans 2025,2025-04-06,Oxford Ultimate,Thundering Herd 1,15,12
Uni Fans 2025,2025-04-06,Purple Cobras,Contested 1st,10,8
Uni Fans 2025,2025-04-06,Purple Cobras,SOLENT Mixed,11,9
Uni Fans 2025,2025-04-06,Purple Cobras,Sheffield Steal,13,4
Uni Fans 2025,2025-04-06,Reading 2,Flyght Mixed,10,7
Uni Fans 2025,2025-04-06,SOLENT Mixed,Cambridge Ultimate Mixed 1,12,7
Uni Fans 2025,2025-04-06,SOLENT Mixed,GUXYZ,10,6
Uni Fans 2025,2025-04-06,South Wales Storm,Sheffield Steal,8,7
Uni Fans 2025,2025-04-06,Thundering Herd 2,Birmingham Ultimate,13,5
Uni Fans 2025,2025-04-06,Thundering Herd 2,LLLeeds Mixed,13,1
Reading X 2025,2025-05-10,Black Sheep Ultimate,Thundering Herd 2,13,10
Reading X 2025,2025-05-10,Bristol Mixed,Contested 1st,11,10
Reading X 2025,2025-05-10,Bristol Mixed,Epsom Ultimate Mixed,14,7
Reading X 2025,2025-05-10,Bristol Mixed,South Wales Storm,15,5
Reading X 2025,2025-05-10,Brixton,Cambridge Ultimate Mixed 1,14,6
Reading X 2025,2025-05-10,Brixton,Curve Trajectory,15,8
Reading X 2025,2025-05-10,Cambridge Ultimate Mixed 1,Curve Trajectory,15,6
Reading X 2025,2025-05-10,Contested 1st,Epsom Ultimate Mixed,13,8
Reading X 2025,2025-05-10,Contested 1st,South Wales Storm,13,10
Reading X 2025,2025-05-10,Curve Vector,Flyght Mixed,11,10
Reading X 2025,2025-05-10,Deep Space,BN1,13,7
Reading X 2025,2025-05-10,Deep Space Club,GB U24 Mixed,11,7
Reading X 2025,2025-05-10,Deep Space Club,Lemmings 1,11,9
Reading X 2025,2025-05-10,Deep Space Club,Newcastle Brown,15,5
Reading X 2025,2025-05-10,Flyght Mixed,Zoo,11,6
Reading X 2025,2025-05-10,GB U24 Mixed,Lemmings 1,11,10
Reading X 2025,2025-05-10,GB U24 Mixed,Newcastle Brown,15,8
Reading X 2025,2025-05-10,Lemmings 1,Newcastle Brown,15,9
Reading X 2025,2025-05-10,Oxford Ultimate,Brixton,15,8
Reading X 2025,2025-05-10,Oxford Ultimate,Cambridge Ultimate Mixed 1,15,3
Reading X 2025,2025-05-10,Oxford Ultimate,Curve Trajectory,15,2
Reading X 2025,2025-05-10,Purple Cobras,Curve Vector,11,10
Reading X 2025,2025-05-10,Purple Cobras,Flyght Mixed,15,9
Reading X 2025,2025-05-10,Purple Cobras,Zoo,12,8
Reading X 2025,2025-05-10,Reading 1,BN1,15,11
Reading X 2025,2025-05-10,Reading 1,Deep Space,10,8
Reading X 2025,2025-05-10,Reading 2,Black Sheep Ultimate,15,7
Reading X 2025,2025-05-10,Reading 2,SOLENT Mixed,12,11
Reading X 2025,2025-05-10,Reading 2,Thundering Herd 2,13,5
Reading X 2025,2025-05-10,SOLENT Mixed,Black Sheep Ultimate,13,9
Reading X 2025,2025-05-10,SOLENT Mixed,Thundering Herd 2,15,6
Reading X 2025,2025-05-10,South Wales Storm,Epsom Ultimate Mixed,12,10
Reading X 2025,2025-05-10,Tim Tam Slam,BN1,15,9
Reading X 2025,2025-05-10,Tim Tam Slam,Deep Space,14,11
Reading X 2025,2025-05-10,Tim Tam Slam,Reading 1,12,6
Reading X 2025,2025-05-10,Zoo,Curve Vector,12,10
Reading X 2025,2025-05-11,BN1,Purple Cobras,15,9
Reading X 2025,2025-05-11,BN1,Reading 2,14,13
Reading X 2025,2025-05-11,Black Sheep Ultimate,Brixton,13,7
Reading X 2025,2025-05-11,Bristol Mixed,Purple Cobras,15,10
Reading X 2025,2025-05-11,Cambridge Ultimate Mixed 1,Brixton,12,11
Reading X 2025,2025-05-11,Contested 1st,Cambridge Ultimate Mixed 1,12,5
Reading X 2025,2025-05-11,Curve Vector,Black Sheep Ultimate,15,5
Reading X 2025,2025-05-11,Curve Vector,Cambridge Ultimate Mixed 1,13,6
Reading X 2025,2025-05-11,Deep Space,Newcastle Brown,15,6
Reading X 2025,2025-05-11,Deep Space,Reading 2,15,5
